2021-12-15 20:12:238 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-15 20:12:357 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-15 20:12:479 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-15 20:12:358 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-15 20:12:195 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-15 20:12:359 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-15 20:12:786 INFO  HomePage :93 - Click on Search Option Button : [[ChromeDriver: chrome on WINDOWS (169478d1352600ce31d142de782d4edd)] -> xpath: //button[@id='toggle-hp-search']]
2021-12-15 20:12:423 INFO  HomePage :70 - Enter job title [[ChromeDriver: chrome on WINDOWS (169478d1352600ce31d142de782d4edd)] -> xpath: //input[@id='keywords']]
2021-12-15 20:12:500 INFO  HomePage :77 - Enter job Location [[ChromeDriver: chrome on WINDOWS (169478d1352600ce31d142de782d4edd)] -> xpath: //input[@id='location']]
2021-12-15 20:12:607 INFO  HomePage :84 - select Distance : [[ChromeDriver: chrome on WINDOWS (169478d1352600ce31d142de782d4edd)] -> xpath: //select[@id='distance']]
2021-12-15 20:12:685 INFO  HomePage :100 - Click on Search Option Button : [[ChromeDriver: chrome on WINDOWS (169478d1352600ce31d142de782d4edd)] -> xpath: //input[@id='salarymin']]
2021-12-15 20:12:754 INFO  HomePage :110 - Click on Search Option Button: [[ChromeDriver: chrome on WINDOWS (169478d1352600ce31d142de782d4edd)] -> xpath: //input[@id='salarymax']]
2021-12-15 20:12:812 INFO  HomePage :118 - Select Salary type  : [[ChromeDriver: chrome on WINDOWS (169478d1352600ce31d142de782d4edd)] -> xpath: //select[@id='salarytype']]
2021-12-15 20:12:886 INFO  HomePage :126 - Select Job type : [[ChromeDriver: chrome on WINDOWS (169478d1352600ce31d142de782d4edd)] -> xpath: //select[@id='tempperm']]
2021-12-15 20:12:817 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-15 21:12:162 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-15 21:12:337 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-15 21:12:861 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-15 21:12:706 INFO  HomePage :93 - Click on Search Option Button : [[ChromeDriver: chrome on WINDOWS (a2497ea86f5f78d25c322f3831d00f43)] -> xpath: //button[@id='toggle-hp-search']]
2021-12-15 21:12:180 INFO  HomePage :70 - Enter job title [[ChromeDriver: chrome on WINDOWS (a2497ea86f5f78d25c322f3831d00f43)] -> xpath: //input[@id='keywords']]
2021-12-15 21:12:331 INFO  HomePage :77 - Enter job Location [[ChromeDriver: chrome on WINDOWS (a2497ea86f5f78d25c322f3831d00f43)] -> xpath: //input[@id='location']]
2021-12-15 21:12:425 INFO  HomePage :84 - select Distance : [[ChromeDriver: chrome on WINDOWS (a2497ea86f5f78d25c322f3831d00f43)] -> xpath: //select[@id='distance']]
